Set Title,Set Number,Question Number,Type,Question,Answer,Reference,Book,Chapter,Verse,Begin Verse
"Set #1  all questions",1,33,"A","According to Acts, chapter 1, verse 5, what did John do?","Baptized with water","Acts 1:5",Acts,1,"5",5,
"Set #1  all questions",1,34,"G","Who baptized with water?","John","Acts 1:5",Acts,1,"5",5,
"Set #1  all questions",1,35,"G","With what did John baptize?","Water","Acts 1:5",Acts,1,"5",5,
"Set #1  all questions",1,36,"S","Situation question: who said it, and to whom: ""Lord, are you at this time going to restore the kingdom to Israel?""","The apostles said it to Jesus","Acts 1:6",Acts,1,"6",6,
"Set #1  all questions",1,37,"G","Around whom did the apostles gather?","Jesus","Acts 1:6",Acts,1,"6",6,
"Set #1  all questions",1,38,"G","Whom did the apostles ask, ""Lord, are you at this time going to restore the kingdom to Israel?""","Jesus","Acts 1:6",Acts,1,"6",6,
"Set #1  all questions",1,39,"S","Situation question: who said it, and to whom: ""It is not for you to know the times or dates the Father has set by his own authority.""?","Jesus said it to the apostles","Acts 1:7",Acts,1,"7",7,
"Set #1  all questions",1,40,"G","Who said to the apostles, ""It is not for you to know the times or dates the Father has set by his own authority.""?","Jesus","Acts 1:7",Acts,1,"7",7,
"Set #1  all questions",1,41,"Q","Quote Acts, chapter 1, verse 8.","""But you will receive power when the Holy Spirit comes on you; and you will be my witnesses in Jerusalem, and in all Judea and Samaria, and to the ends of the earth.""""","Acts 1:8",Acts,1,"8",8,
"Set #1  all questions",1,42,"S","Situation question: who said it, and to whom: ""But you will receive power when the Holy Spirit comes on you; and you will be my witnesses in Jerusalem, and in all Judea and Samaria, and to the ends of the earth.""?","Jesus said it to the apostles","Acts 1:8",Acts,1,"8",8,
"Set #1  all questions",1,43,"A","According to Acts, chapter 1, verse 8, what will you receive?","Power","Acts 1:8",Acts,1,"8",8,
"Set #1  all questions",1,44,"G","What will the apostles receive when the Holy Spirit comes on them?","Power","Acts 1:8",Acts,1,"8",8,
"Set #1  all questions",1,45,"A","According to Acts, chapter 1, verse 9, before what was he taken up?","Their very eyes","Acts 1:9",Acts,1,"9",9,
"Set #1  all questions",1,46,"G","Who was taken up before the apostles' very eyes?","Jesus","Acts 1:9",Acts,1,"9",9,
"Set #1  all questions",1,47,"G","How were the apostles looking up into the sky as Jesus was going?","Intently","Acts 1:10",Acts,1,"10",10,
"Set #1  all questions",1,48,"A","According to Acts, chapter 1, verse 10, how were they looking?","Intently","Acts 1:10",Acts,1,"10",10,
"Set #1  all questions",1,49,"A","According to Acts, chapter 1, verse 10, how were two men dressed?","In white","Acts 1:10",Acts,1,"10",10,
"Set #1  all questions",1,50,"V","Finish this verse: """"Men of Galilee,"" they said,...""","""...""why do you stand here looking into the sky? This same Jesus, who has been taken from you into heaven, will come back in the same way you have seen him go into heaven.""""","Acts 1:11",Acts,1,"11",11,
"Set #1  all questions",1,51,"V","Finish this verse: """"Men of Galilee,"" they said,...""","""...""why do you stand here looking into the sky? This same Jesus, who has been taken from you into heaven, will come back in the same way you have seen him go into heaven.""""","Acts 1:11",Acts,1,"11",11,
"Set #1  all questions",1,52,"Q","Quote Acts, chapter 1, verse 11.","""""Men of Galilee,"" they said, ""why do you stand here looking into the sky? This same Jesus, who has been taken from you into heaven, will come back in the same way you have seen him go into heaven.""""","Acts 1:11",Acts,1,"11",11,
"Set #1  all questions",1,53,"A","According to Acts, chapter 1, verse 11, where have you seen Jesus go?","Into heaven","Acts 1:11",Acts,1,"11",11,
"Set #1  all questions",1,54,"A","According to Acts, chapter 1, verse 11, who will come back?","(This same) Jesus","Acts 1:11",Acts,1,"11",11,
"Set #1  all questions",1,55,"A","According to Acts, chapter 1, verse 11, where are you looking?","Into the sky","Acts 1:11",Acts,1,"11",11,
"Set #1  all questions",1,56,"A","According to Acts, chapter 1, verse 12, to where did the apostles return?","Jerusalem","Acts 1:12",Acts,1,"12",12,
"Set #1  all questions",1,57,"A","According to Acts, chapter 1, verse 12, who returned to Jerusalem?","The apostles","Acts 1:12",Acts,1,"12",12,
"Set #1  all questions",1,58,"G","To where did the apostles return from the hill called the Mount of Olives?","Jerusalem","Acts 1:12",Acts,1,"12",12,
"Set #1  all questions",1,59,"G","Of whom was James the son?","Alphaeus","Acts 1:13",Acts,1,"13",13,
"Set #1  all questions",1,60,"G","Of whom was Judas the son?","James","Acts 1:13",Acts,1,"13",13,
"Set #1  all questions",1,61,"G","Who was the son of Alphaeus?","James","Acts 1:13",Acts,1,"13",13,
"Set #1  all questions",1,62,"G","Who was the son of James?","Judas","Acts 1:13",Acts,1,"13",13,
"Set #1  all questions",1,63,"G","Who was the Zealot?","Simon","Acts 1:13",Acts,1,"13",13,
"Set #1  all questions",1,64,"A","According to Acts, chapter 1, verse 14, of whom was Mary the mother?","Jesus","Acts 1:14",Acts,1,"14",14,
"Set #1  all questions",1,65,"A","According to Acts, chapter 1, verse 14, in what did they all join together constantly?","Prayer","Acts 1:14",Acts,1,"14",14,
"Set #1  all questions",1,66,"G","Who was the mother of Jesus?","Mary","Acts 1:14",Acts,1,"14",14,
"Set #1  all questions",1,67,"A","According to Acts, chapter 1, verse 15, who stood up among the believers?","Peter","Acts 1:15",Acts,1,"15",15,
"Set #1  all questions",1,68,"A","According to Acts, chapter 1, verse 15, among whom did Peter stand up?","The believers","Acts 1:15",Acts,1,"15",15,
"Set #1  all questions",1,69,"A","According to Acts, chapter 1, verse 16, concerning whom did the Holy Spirit speak?","Judas","Acts 1:16",Acts,1,"16",16,
"Set #1  all questions",1,70,"A","According to Acts, chapter 1, verse 16, when did the Holy Spirit speak?","Long ago","Acts 1:16",Acts,1,"16",16,
"Set #1  all questions",1,71,"G","Through whom did the Holy Spirit speak long ago concerning Judas?","David","Acts 1:16",Acts,1,"16",16,
"Set #1  all questions",1,72,"G","As what did Judas serve for those who arrested Jesus?","Guide","Acts 1:16",Acts,1,"16",16,
"Set #1  all questions",1,73,"G","Who served as guide for those who arrested Jesus?","Judas","Acts 1:16",Acts,1,"16",16,
"Set #1  all questions",1,74,"G","Concerning whom did the Holy Spirit speak long ago through David?","Judas","Acts 1:16",Acts,1,"16",16,
"Set #1  all questions",1,75,"G","Who said, ""Brothers and sisters, the Scripture had to be fulfilled in which the Holy Spirit spoke long ago through David concerning Judas, who served as guide for those who arrested Jesus.""?","Peter","Acts 1:16",Acts,1,"16",16,
"Set #1  all questions",1,76,"G","Who was one of our number and shared in our ministry?","Judas","Acts 1:17",Acts,1,"17",17,
"Set #1  all questions",1,77,"G","Who shared in our ministry?","Judas","Acts 1:17",Acts,1,"17",17,
"Set #1  all questions",1,78,"A","According to Acts, chapter 1, verse 17, in what did he share?","Our ministry","Acts 1:17",Acts,1,"17",17,
"Set #1  all questions",1,79,"G","Who received payment for his wickedness?","Judas","Acts 1:18",Acts,1,"18",18,
"Set #1  all questions",1,80,"G","Who fell headlong in a field he bought?","Judas","Acts 1:18",Acts,1,"18",18,
"Set #1  all questions",1,81,"G","How did Judas fall in a field he bought?","Headlong","Acts 1:18",Acts,1,"18",18,
"Set #1  all questions",1,82,"G","Who bought a field with the payment he received for his wickedness?","Judas","Acts 1:18",Acts,1,"18",18,
"Set #1  all questions",1,83,"G","Whose body burst open?","Judas'","Acts 1:18",Acts,1,"18",18,
"Set #1  all questions",1,84,"G","What did Judas receive for his wickedness?","Payment","Acts 1:18",Acts,1,"18",18,
"Set #1  all questions",1,85,"X","What does ""Akeldama"" mean?","""Field of Blood""","Acts 1:19",Acts,1,"19",19,
"Set #1  all questions",1,86,"X","What means ""Field of Blood.""?","Akeldama","Acts 1:19",Acts,1,"19",19,
"Set #1  all questions",1,87,"X","From what Old Testament book does the following quotation come: ""May another take his place of leadership.""?","Psalms","Acts 1:20",Acts,1,"20",20,
"Set #1  all questions",1,88,"X","From what Old Testament book does the following quotation come: ""May his place be deserted; let there be no one to dwell in it.""?","Psalms","Acts 1:20",Acts,1,"20",20,
"Set #1  all questions",1,89,"A","According to Acts, chapter 1, verse 20, what may his place be?","Deserted","Acts 1:20",Acts,1,"20",20,
"Set #1  all questions",1,90,"G","Who said, ""For it is written in the book of Psalms, 'May his place be deserted; let there be no one to dwell in it,' and 'May another take his place of leadership.'""?","Peter","Acts 1:20",Acts,1,"20",20,
"Set #1  all questions",1,91,"A","According to Acts, chapter 1, verse 21, where was the Lord Jesus living?","Among us","Acts 1:21",Acts,1,"21",21,
"Set #1  all questions",1,92,"A","According to Acts, chapter 1, verse 22, who was taken up?","Jesus","Acts 1:22",Acts,1,"22",22,
"Set #1  all questions",1,93,"G","Who was taken up from us?","Jesus","Acts 1:22",Acts,1,"22",22,
"Set #1  all questions",1,94,"A","According to Acts, chapter 1, verse 23, how was Joseph also known?","As Justus","Acts 1:23",Acts,1,"23",23,
"Set #1  all questions",1,95,"A","According to Acts, chapter 1, verse 23, who was called Barsabbas?","Joseph","Acts 1:23",Acts,1,"23",23,
"Set #1  all questions",1,96,"A","According to Acts, chapter 1, verse 24, what does the Lord know?","Everyone's heart","Acts 1:24",Acts,1,"24",24,
"Set #1  all questions",1,97,"A","According to Acts, chapter 1, verse 25, who left to go where he belongs?","Judas","Acts 1:25",Acts,1,"25",25,
"Set #1  all questions",1,98,"G","Who left this apostolic ministry to go where he belongs?","Judas","Acts 1:25",Acts,1,"25",25,
"Set #1  all questions",1,99,"X","Two-part question: who was added to the eleven apostles, and how was he chosen?","1) Matthias; 2) By casting lots","Acts 1:26",Acts,1,"26",26,
"Set #1  all questions",1,100,"A","According to Acts, chapter 1, verse 26, what did they cast?","Lots","Acts 1:26",Acts,1,"26",26,
"Set #1  all questions",1,101,"G","Who was added to the eleven apostles?","Matthias","Acts 1:26",Acts,1,"26",26,
"Set #1  all questions",1,102,"G","To whom did the lot fall?","Matthias","Acts 1:26",Acts,1,"26",26,
"Set #1  all questions",1,103,"V","Finish these verses: ""When the day of Pentecost...""","""...came, they were all together in one place. Suddenly a sound like the blowing of a violent wind came from heaven and filled the whole house where they were sitting.""","Acts 2:1-2",Acts,2,"1-2",1,
"Set #1  all questions",1,104,"G","From where did a sound like the blowing of a violent wind suddenly come?","Heaven","Acts 2:2",Acts,2,"2",2,
"Set #1  all questions",1,105,"G","How did a sound like the blowing of a violent wind come from heaven and fill the whole house where they were sitting?","Suddenly","Acts 2:2",Acts,2,"2",2,
"Set #1  all questions",1,106,"R","Finish these verses and give the reference: ""They saw what seemed to...""","""...be tongues of fire that separated and came to rest on each of them. All of them were filled with the Holy Spirit and began to speak in other tongues as the Spirit enabled them.""","Acts 2:3-4",Acts,2,"3-4",3,
"Set #1  all questions",1,107,"A","According to Acts, chapter 2, verse 4, who were filled with the Holy Spirit?","All of them","Acts 2:4",Acts,2,"4",4,
"Set #1  all questions",1,108,"A","According to Acts, chapter 2, verse 4, in what did all of them begin to speak?","Other tongues","Acts 2:4",Acts,2,"4",4,
"Set #1  all questions",1,109,"A","According to Acts, chapter 2, verse 4, who enabled them?","The (Holy) Spirit","Acts 2:4",Acts,2,"4",4,
"Set #1  all questions",1,110,"G","In what did all of them begin to speak as the Spirit enabled them?","Other tongues","Acts 2:4",Acts,2,"4",4,
"Set #1  all questions",1,111,"G","Where were God-fearing Jews from every nation under heaven staying?","In Jerusalem","Acts 2:5",Acts,2,"5",5,
"Set #1  all questions",1,112,"A","According to Acts, chapter 2, verse 6, who came together?","A crowd","Acts 2:6",Acts,2,"6",6,
"Set #1  all questions",1,113,"A","According to Acts, chapter 2, verse 6, in what did a crowd come together?","Bewilderment","Acts 2:6",Acts,2,"6",6,
"Set #1  all questions",1,114,"A","According to Acts, chapter 2, verse 6, what did each one hear being spoken?","Their own language","Acts 2:6",Acts,2,"6",6,
"Set #1  all questions",1,115,"G","Who came together in bewilderment?","A crowd","Acts 2:6",Acts,2,"6",6,
"Set #1  all questions",1,116,"A","According to Acts, chapter 2, verse 7, what were they?","Utterly amazed","Acts 2:7",Acts,2,"7",7,
"Set #1  all questions",1,117,"A","According to Acts, chapter 2, verse 8, who hears them in our native language?","Each of us","Acts 2:8",Acts,2,"8",8,
"Set #1  all questions",1,118,"A","According to Acts, chapter 2, verse 8, in what language do each of us hear them?","Our native language","Acts 2:8",Acts,2,"8",8,
"Set #1  all questions",1,119,"G","What are parts of Libya near?","Cyrene","Acts 2:10",Acts,2,"10",10,
"Set #1  all questions",1,120,"A","According to Acts, chapter 2, verse 10, from where are visitors?","Rome","Acts 2:10",Acts,2,"10",10,
"Set #1  all questions",1,121,"A","According to Acts, chapter 2, verse 10, what is near Cyrene?","Parts of Libya","Acts 2:10",Acts,2,"10",10,
"Set #1  all questions",1,122,"A","According to Acts, chapter 2, verse 11, in what do we hear them declaring the wonders of God?","Our own tongues","Acts 2:11",Acts,2,"11",11,
"Set #1  all questions",1,123,"A","According to Acts, chapter 2, verse 12, what were they?","Amazed and perplexed","Acts 2:12",Acts,2,"12",12,
"Set #1  all questions",1,124,"A","According to Acts, chapter 2, verse 13, who made fun of them?","Some","Acts 2:13",Acts,2,"13",13,
"Set #1  all questions",1,125,"A","According to Acts, chapter 2, verse 14, who addressed the crowd?","Peter","Acts 2:14",Acts,2,"14",14,
"Set #1  all questions",1,126,"A","According to Acts, chapter 2, verse 14, who stood up?","Peter","Acts 2:14",Acts,2,"14",14,
"Set #1  all questions",1,127,"A","According to Acts, chapter 2, verse 14, who raised his voice?","Peter","Acts 2:14",Acts,2,"14",14,
"Set #1  all questions",1,128,"A","According to Acts, chapter 2, verse 14, with whom did Peter stand up?","The Eleven","Acts 2:14",Acts,2,"14",14,
"Set #1  all questions",1,129,"A","According to Acts, chapter 2, verse 14, how should you listen to what I say?","Carefully","Acts 2:14",Acts,2,"14",14,
"Set #1  all questions",1,130,"A","According to Acts, chapter 2, verse 14, whom did Peter address?","The crowd","Acts 2:14",Acts,2,"14",14,
"Set #1  all questions",1,131,"A","According to Acts, chapter 2, verse 14, to what should you listen carefully?","What I say","Acts 2:14",Acts,2,"14",14,
"Set #1  all questions",1,132,"G","What did Peter raise?","His voice","Acts 2:14",Acts,2,"14",14,
"Set #1  all questions",1,133,"A","According to Acts, chapter 2, verse 15, what are these people not?","Drunk","Acts 2:15",Acts,2,"15",15,
"Set #1  all questions",1,134,"X","In Acts, chapter 2, which two prophets are mentioned?","Joel and David","Acts 2:16, 30",Acts,2,"16, 30",16,
"Set #1  all questions",1,135,"A","According to Acts, chapter 2, verse 16, who is a prophet?","Joel","Acts 2:16",Acts,2,"16",16,
"Set #1  all questions",1,136,"A","According to Acts, chapter 2, verse 16, by whom was this spoken?","The prophet Joel","Acts 2:16",Acts,2,"16",16,
"Set #1  all questions",1,137,"Q","Quote Acts, chapter 2, verse 17.","""""'In the last days, God says, I will pour out my Spirit on all people. Your sons and daughters will prophesy, your young men will see visions, your old men will dream dreams.""","Acts 2:17",Acts,2,"17",17,
"Set #1  all questions",1,138,"X","From what Old Testament book does the following quotation come: ""Your sons and daughters will prophesy, your young men will see visions, your old men will dream dreams.""?","Joel","Acts 2:17",Acts,2,"17",17,
"Set #1  all questions",1,139,"X","From what Old Testament book does the following quotation come: ""In the last days, God says, I will pour out my Spirit on all people.""?","Joel","Acts 2:17",Acts,2,"17",17,
"Set #1  all questions",1,140,"Q","Quote Acts, chapter 2, verse 17.","""""'In the last days, God says, I will pour out my Spirit on all people. Your sons and daughters will prophesy, your young men will see visions, your old men will dream dreams.""","Acts 2:17",Acts,2,"17",17,
"Set #1  all questions",1,141,"Q","Quote Acts, chapter 2, verse 17.","""""'In the last days, God says, I will pour out my Spirit on all people. Your sons and daughters will prophesy, your young men will see visions, your old men will dream dreams.""","Acts 2:17",Acts,2,"17",17,
"Set #1  all questions",1,142,"Q","Quote Acts, chapter 2, verse 17.","""""'In the last days, God says, I will pour out my Spirit on all people. Your sons and daughters will prophesy, your young men will see visions, your old men will dream dreams.""","Acts 2:17",Acts,2,"17",17,
"Set #1  all questions",1,143,"Q","Quote Acts, chapter 2, verse 17.","""""'In the last days, God says, I will pour out my Spirit on all people. Your sons and daughters will prophesy, your young men will see visions, your old men will dream dreams.""","Acts 2:17",Acts,2,"17",17,
"Set #1  all questions",1,144,"A","According to Acts, chapter 2, verse 17, on whom will I pour out my Spirit?","All people","Acts 2:17",Acts,2,"17",17,
"Set #1  all questions",1,145,"G","What will your old men dream?","Dreams","Acts 2:17",Acts,2,"17",17,
"Set #1  all questions",1,146,"G","Who will pour out his Spirit on all people in the last days?","God","Acts 2:17",Acts,2,"17",17,
"Set #1  all questions",1,147,"G","Whom will God pour out on all people in the last days?","His Spirit","Acts 2:17",Acts,2,"17",17,
"Set #1  all questions",1,148,"G","What will your young men see?","Visions","Acts 2:17",Acts,2,"17",17,
"Set #1  all questions",1,149,"X","From what Old Testament book does the following quotation come: ""Even on my servants, both men and women, I will pour out my Spirit in those days, and they will prophesy.""?","Joel","Acts 2:18",Acts,2,"18",18,
"Set #1  all questions",1,150,"A","According to Acts, chapter 2, verse 18, when will I pour out my Spirit?","In those days","Acts 2:18",Acts,2,"18",18,
"Set #1  all questions",1,151,"A","According to Acts, chapter 2, verse 18, what will my servants do?","Prophesy","Acts 2:18",Acts,2,"18",18,
"Set #1  all questions",1,152,"G","Who will pour out his Spirit in those days even on his servants?","God","Acts 2:18",Acts,2,"18",18,
"Set #1  all questions",1,153,"G","Whom will God pour out in those days even on his servants?","His Spirit","Acts 2:18",Acts,2,"18",18,
"Set #1  all questions",1,154,"X","From what Old Testament book does the following quotation come: ""I will show wonders in the heavens above and signs on the earth below, blood and fire and billows of smoke.""?","Joel","Acts 2:19",Acts,2,"19",19,
"Set #1  all questions",1,155,"G","Who will show signs on the earth below?","God","Acts 2:19",Acts,2,"19",19,
"Set #1  all questions",1,156,"G","Who will show wonders in the heavens above?","God","Acts 2:19",Acts,2,"19",19,
"Set #1  all questions",1,157,"G","What will God show in the heavens above?","Wonders","Acts 2:19",Acts,2,"19",19,
"Set #1  all questions",1,158,"R","Finish these verses and give the reference: ""The sun will be turned...""","""...to darkness and the moon to blood before the coming of the great and glorious day of the Lord. And everyone who calls on the name of the Lord will be saved.'""","Acts 2:20-21",Acts,2,"20-21",20,
"Set #1  all questions",1,159,"X","Two-part question: in Acts, chapter 2, to what will the sun be turned, and to what will the moon be turned?","1) Darkness; 2) Blood","Acts 2:20",Acts,2,"20",20,
"Set #1  all questions",1,160,"X","From what Old Testament book does the following quotation come: ""The sun will be turned to darkness and the moon to blood before the coming of the great and glorious day of the Lord.""?","Joel","Acts 2:20",Acts,2,"20",20,
"Set #1  all questions",1,161,"A","According to Acts, chapter 2, verse 20, what will the sun be?","Turned to darkness","Acts 2:20",Acts,2,"20",20,
"Set #1  all questions",1,162,"G","To what will the moon be turned?","Blood","Acts 2:20",Acts,2,"20",20,
"Set #1  all questions",1,163,"G","To what will the sun be turned?","Darkness","Acts 2:20",Acts,2,"20",20,
"Set #1  all questions",1,164,"G","What will be turned to blood?","The moon","Acts 2:20",Acts,2,"20",20,
"Set #1  all questions",1,165,"G","What will be turned to darkness?","The sun","Acts 2:20",Acts,2,"20",20,
"Set #1  all questions",1,166,"X","From what Old Testament book does the following quotation come: ""And everyone who calls on the name of the Lord will be saved.""?","Joel","Acts 2:21",Acts,2,"21",21,
"Set #1  all questions",1,167,"G","What will everyone who calls on the name of the Lord be?","Saved","Acts 2:21",Acts,2,"21",21,
"Set #1  all questions",1,168,"S","Situation question: who said it, and to whom: ""Fellow Israelites, listen to this: Jesus of Nazareth was a man accredited by God to you by miracles, wonders and signs, which God did among you through him, as you yourselves know.""?","Peter said it to the crowd [OR to (Peter's) fellow Israelites]","Acts 2:22",Acts,2,"22",22,
"Set #1  all questions",1,169,"A","According to Acts, chapter 2, verse 22, among whom did God do miracles, wonders, and signs through Jesus of Nazareth?","Fellow Israelites","Acts 2:22",Acts,2,"22",22,
"Set #1  all questions",1,170,"A","According to Acts, chapter 2, verse 22, who should listen to this?","Fellow Israelites","Acts 2:22",Acts,2,"22",22,
"Set #1  all questions",1,171,"G","Who did miracles, wonders and signs among you through Jesus of Nazareth?","God","Acts 2:22",Acts,2,"22",22,
"Set #1  all questions",1,172,"G","By whom was Jesus of Nazareth accredited to you?","God","Acts 2:22",Acts,2,"22",22,
"Set #1  all questions",1,173,"S","Situation question: who said it, and to whom: ""This man was handed over to you by God's deliberate plan and foreknowledge; and you, with the help of wicked men, put him to death by nailing him to the cross.""?","Peter said it to the crowd [OR to (Peter's) fellow Israelites]","Acts 2:23",Acts,2,"23",23,
"Set #1  all questions",1,174,"A","According to Acts, chapter 2, verse 23, who was handed over to you?","This man","Acts 2:23",Acts,2,"23",23,
"Set #1  all questions",1,175,"G","To what did you, with the help of wicked men, put Jesus by nailing him to the cross?","Death","Acts 2:23",Acts,2,"23",23,
"Set #1  all questions",1,176,"G","To what did you, with the help of wicked men, nail Jesus?","The cross","Acts 2:23",Acts,2,"23",23,
"Set #1  all questions",1,177,"Q","Quote Acts, chapter 2, verse 24.","""But God raised him from the dead, freeing him from the agony of death, because it was impossible for death to keep its hold on him.""","Acts 2:24",Acts,2,"24",24,
"Set #1  all questions",1,178,"G","From what did God raise Jesus?","The dead","Acts 2:24",Acts,2,"24",24,
"Set #1  all questions",1,179,"G","Who raised Jesus from the dead?","God","Acts 2:24",Acts,2,"24",24,
"Set #1  all questions",1,180,"G","Who freed Jesus from the agony of death?","God","Acts 2:24",Acts,2,"24",24,
"Set #1  all questions",1,181,"G","What was impossible for death to keep on Jesus?","Its hold","Acts 2:24",Acts,2,"24",24,
"Set #1  all questions",1,182,"Q","Quote Acts, chapter 2, verse 25.","""David said about him: ""'I saw the Lord always before me. Because he is at my right hand, I will not be shaken.""","Acts 2:25",Acts,2,"25",25,
"Set #1  all questions",1,183,"X","From what Old Testament book does the following quotation come: ""Because he is at my right hand, I will not be shaken.""?","Psalms","Acts 2:25",Acts,2,"25",25,
"Set #1  all questions",1,184,"X","From what Old Testament book does the following quotation come: ""I saw the Lord always before me. Because he is at my right hand, I will not be shaken.""?","Psalms","Acts 2:25",Acts,2,"25",25,
"Set #1  all questions",1,185,"A","According to Acts, chapter 2, verse 25, where do I see the Lord always?","Before me","Acts 2:25",Acts,2,"25",25,
"Set #1  all questions",1,186,"A","According to Acts, chapter 2, verse 25, what will I not be?","Shaken","Acts 2:25",Acts,2,"25",25,
"Set #1  all questions",1,187,"A","According to Acts, chapter 2, verse 25, whom did I see always before me?","The Lord","Acts 2:25",Acts,2,"25",25,
"Set #1  all questions",1,188,"G","When did I see the Lord before me?","Always","Acts 2:25",Acts,2,"25",25,
"Set #1  all questions",1,189,"G","Where did I see the Lord always?","Before me","Acts 2:25",Acts,2,"25",25,
"Set #1  all questions",1,190,"G","Who said about him, ""I saw the Lord always before me. Because he is at my right hand, I will not be shaken.""?","David","Acts 2:25",Acts,2,"25",25,
"Set #1  all questions",1,191,"G","Whom did I see always before me?","The Lord","Acts 2:25",Acts,2,"25",25,
